rexxcps	17897276821	17897287851	17895021796	17895036456	-0.01260%	-0.01258%	-0.01259%
nop	9340094695	9340098457	9340101302	9340105654	+0.00007%	+0.00008%	+0.00007%
assign	19540360342	19540361928	19540362723	19540363644	+0.00001%	+0.00001%	+0.00001%
emptyloop	9285889130	9285882173	9285882413	9285883596	-0.00007%	+0.00002%	-0.00003%
varlookup	14842896471	14842899742	14842899605	14842901535	+0.00002%	+0.00001%	+0.00002%
arith	11519342277	11519337321	11519344937	11519335804	+0.00002%	-0.00001%	+0.00000%
compound	9234398051	9234393159	9234395510	9234397025	-0.00003%	+0.00004%	+0.00001%
dispatch	20471081669	20471079920	20461083822	20461078720	-0.04884%	-0.04886%	-0.04885%
strings	17788061334	17788060541	17737063413	17737068241	-0.28670%	-0.28667%	-0.28668%
startup	60856349	60861846	60859727	60858247	+0.00555%	-0.00591%	-0.00018%
parse	1539184444	1539180649	1543380824	1543384849	+0.27264%	+0.27315%	+0.27289%
