# Generated expression corpus for the Task 3.5 differential test.
#
# One record per line, tab separated: the expression source, then OK or ERR,
# then either the value the interpreter printed or, for ERR, the error number
# the condition carried.
#
# Produced by evaluating each expression under build/bin/rexx 5.3.0 with the
# variable table a=2 b=3 c=1 d=4 s='xy' t='9' and NUMERIC DIGITS at its
# default 9. An error number of 35, 36, 37, 19 or 20 is a syntax error, which
# the parser itself must reject; any other is a runtime one, which it must
# accept and then fail to evaluate.
#
# The generator walks every ordered pair of 16 dyadic operators over 7 operand
# triples, then every prefix operator against every dyadic operator on both
# sides, then one four-operand chain per operator, then the same pairs with the
# grouping forced by parentheses. The operand triples are chosen so that left
# and right association give different answers: (2,2,1) rather than (2,2,2),
# because `a = b = c` cannot tell them apart when all three are equal.
#
# Regenerating it means rerunning that walk against the interpreter. Do not
# edit a value by hand: a value here is evidence, and a hand-edited one is not.
2 + 3 + 4	OK	9
2 + 3 - 4	OK	1
2 + 3 * 4	OK	14
2 + 3 / 4	OK	2.75
2 + 3 % 4	OK	2
2 + 3 // 4	OK	5
2 + 3 ** 4	OK	83
2 + 3 || 4	OK	54
2 + 3 4	OK	5 4
2 + 3 = 4	OK	0
2 + 3 == 4	OK	0
2 + 3 > 4	OK	1
2 + 3 & 4	ERR	34
2 + 3 | 4	ERR	34
2 + 3 && 4	ERR	34
2 + 3 \= 4	OK	1
2 - 3 + 4	OK	3
2 - 3 - 4	OK	-5
2 - 3 * 4	OK	-10
2 - 3 / 4	OK	1.25
2 - 3 % 4	OK	2
2 - 3 // 4	OK	-1
2 - 3 ** 4	OK	-79
2 - 3 || 4	OK	-14
2 - 3 4	OK	-1 4
2 - 3 = 4	OK	0
2 - 3 == 4	OK	0
2 - 3 > 4	OK	0
2 - 3 & 4	ERR	34
2 - 3 | 4	ERR	34
2 - 3 && 4	ERR	34
2 - 3 \= 4	OK	1
2 * 3 + 4	OK	10
2 * 3 - 4	OK	2
2 * 3 * 4	OK	24
2 * 3 / 4	OK	1.5
2 * 3 % 4	OK	1
2 * 3 // 4	OK	2
2 * 3 ** 4	OK	162
2 * 3 || 4	OK	64
2 * 3 4	OK	6 4
2 * 3 = 4	OK	0
2 * 3 == 4	OK	0
2 * 3 > 4	OK	1
2 * 3 & 4	ERR	34
2 * 3 | 4	ERR	34
2 * 3 && 4	ERR	34
2 * 3 \= 4	OK	1
2 / 3 + 4	OK	4.66666667
2 / 3 - 4	OK	-3.33333333
2 / 3 * 4	OK	2.66666667
2 / 3 / 4	OK	0.166666667
2 / 3 % 4	OK	0
2 / 3 // 4	OK	0.666666667
2 / 3 ** 4	OK	0.024691358
2 / 3 || 4	OK	0.6666666674
2 / 3 4	OK	0.666666667 4
2 / 3 = 4	OK	0
2 / 3 == 4	OK	0
2 / 3 > 4	OK	0
2 / 3 & 4	ERR	34
2 / 3 | 4	ERR	34
2 / 3 && 4	ERR	34
2 / 3 \= 4	OK	1
2 % 3 + 4	OK	4
2 % 3 - 4	OK	-4
2 % 3 * 4	OK	0
2 % 3 / 4	OK	0
2 % 3 % 4	OK	0
2 % 3 // 4	OK	0
2 % 3 ** 4	OK	0
2 % 3 || 4	OK	04
2 % 3 4	OK	0 4
2 % 3 = 4	OK	0
2 % 3 == 4	OK	0
2 % 3 > 4	OK	0
2 % 3 & 4	ERR	34
2 % 3 | 4	ERR	34
2 % 3 && 4	ERR	34
2 % 3 \= 4	OK	1
2 // 3 + 4	OK	6
2 // 3 - 4	OK	-2
2 // 3 * 4	OK	8
2 // 3 / 4	OK	0.5
2 // 3 % 4	OK	0
2 // 3 // 4	OK	2
2 // 3 ** 4	OK	2
2 // 3 || 4	OK	24
2 // 3 4	OK	2 4
2 // 3 = 4	OK	0
2 // 3 == 4	OK	0
2 // 3 > 4	OK	0
2 // 3 & 4	ERR	34
2 // 3 | 4	ERR	34
2 // 3 && 4	ERR	34
2 // 3 \= 4	OK	1
2 ** 3 + 4	OK	12
2 ** 3 - 4	OK	4
2 ** 3 * 4	OK	32
2 ** 3 / 4	OK	2
2 ** 3 % 4	OK	2
2 ** 3 // 4	OK	0
2 ** 3 ** 4	OK	4096
2 ** 3 || 4	OK	84
2 ** 3 4	OK	8 4
2 ** 3 = 4	OK	0
2 ** 3 == 4	OK	0
2 ** 3 > 4	OK	1
2 ** 3 & 4	ERR	34
2 ** 3 | 4	ERR	34
2 ** 3 && 4	ERR	34
